DATADATE,COUNTRY,EXHRATE
2016/9/1,JPY,0.309
2016/9/2,JPY,0.3086
2016/9/3,JPY,
2016/9/4,JPY,
2016/9/5,JPY,0.3072
2016/9/6,JPY,0.3067
2016/9/7,JPY,0.3103
2016/9/8,JPY,0.3106
2016/9/9,JPY,0.3109
2016/9/10,JPY,0.3105
2016/9/11,JPY,
2016/9/12,JPY,0.3125
2016/9/13,JPY,0.3139
2016/9/14,JPY,0.3102
2016/9/15,JPY,
2016/9/16,JPY,
2016/9/17,JPY,
2016/9/18,JPY,
2016/9/19,JPY,0.3106
2016/9/20,JPY,0.3111
2016/9/21,JPY,0.3114
2016/9/22,JPY,0.3146
2016/9/23,JPY,0.3129
2016/9/24,JPY,
2016/9/25,JPY,
2016/9/26,JPY,0.3149
2016/9/27,JPY,0.3143
2016/9/29,JPY,0.3115
2016/9/30,JPY,0.3135
2016/10/1,JPY,
2016/10/2,JPY,
2016/10/3,JPY,0.3116
2016/10/4,JPY,0.3087
2016/10/5,JPY,0.3076
2016/10/6,JPY,0.3054
2016/10/7,JPY,0.3056
2016/10/8,JPY,
2016/10/9,JPY,
2016/10/10,JPY,
2016/10/11,JPY,0.3067
2016/10/12,JPY,0.3081
2016/10/13,JPY,0.3082
2016/10/14,JPY,0.3068
2016/10/15,JPY,
2016/10/16,JPY,
2016/10/17,JPY,0.3076
2016/10/18,JPY,0.307
2016/10/19,JPY,0.3071
2016/10/20,JPY,0.3066
2016/10/21,JPY,0.3072
2016/10/22,JPY,
2016/10/23,JPY,
2016/10/24,JPY,0.3074
2016/10/25,JPY,0.3052
2016/10/26,JPY,0.3056
2016/10/27,JPY,0.3049
2016/10/28,JPY,0.3031
2016/10/29,JPY,
2016/10/30,JPY,
2016/10/31,JPY,0.3034
2016/11/1,JPY,0.3034
2016/11/2,JPY,0.3072
2016/11/3,JPY,0.3092
2016/11/4,JPY,0.3074
2016/11/5,JPY,
2016/11/6,JPY,
2016/11/7,JPY,0.3043
2016/11/8,JPY,0.3042
2016/11/9,JPY,0.3066
2016/11/10,JPY,0.302
2016/11/11,JPY,0.3006
2016/11/12,JPY,
2016/11/13,JPY,
2016/11/14,JPY,0.2996
2016/11/15,JPY,0.2971
2016/11/16,JPY,0.2936
2016/11/17,JPY,0.2945
2016/11/18,JPY,0.2916
2016/11/19,JPY,
2016/11/20,JPY,
2016/11/21,JPY,0.291
2016/11/22,JPY,0.2902
2016/11/23,JPY,0.2897
2016/11/24,JPY,0.2845
2016/11/25,JPY,0.2849
2016/11/26,JPY,
2016/11/27,JPY,
2016/11/28,JPY,0.2866
2016/11/29,JPY,0.286
2016/11/30,JPY,0.2854
2016/12/1,JPY,0.2819
2016/12/2,JPY,0.2828
2016/12/3,JPY,
2016/12/4,JPY,
2016/12/5,JPY,0.2834
2016/12/6,JPY,0.2834
2016/12/7,JPY,0.2816
2016/12/8,JPY,0.2821
2016/12/9,JPY,0.2806
2016/12/10,JPY,
